sourceDOI,reusedDOI,type,comment,sourceReference,alternativeID,sourceReferenceDetail,contributor
"10.1145/3377811.3380342","10.1145/3106237.3106290","Tool","Java Lexer","[41]","https://github.com/SLP-team/SLP-Core","1076","asslisa"
"10.1145/3377811.3380342","","Tool","Pygments Library ","","http://pygments.org/docs/lexers/","1076","asslisa"
"10.1145/3377811.3380342","10.1145/2786805.2786849","Methodology","Word Splitting","[3]","","1077","asslisa"
"10.1145/3377811.3380342","","Tool","Byte Pair Encoding (BPE) Algorithm","[34]","https://dl.acm.org/doi/10.5555/177910.177914","1077","asslisa"
"10.1145/3377811.3380342","10.18653/v1/P18-1027","Replication","GRU","[56]","","1078","asslisa"
"10.1145/3377811.3380342","","Tool","BPE Implementation","","https://github.com/rsennrich/subword-nmt","1078","asslisa"
"10.1145/3377811.3380342","10.1145/3106237.3106290","Methodology","Code Completion Scenarios ","[41]","","1080","asslisa"
"10.1145/3377811.3380342","10.1145/3106237.3106290","Tool","n-gram Implementation","[41]","https://github.com/SLP-team/SLP-Core","1080","asslisa"
"10.1145/3377811.3380342","10.1145/2610384.2628055","Dataset","Defects4j dataset","[53]","","1082","asslisa"
"10.1145/3377811.3380341","10.1109/TSE.1986.6312929","Methodology","Typestate Analysis ","[61]","","1448","asslisa"
"10.1145/3377811.3380341","10.1145/1390630.1390656","Tool","Checker Framework ","[50]","","1453","asslisa"
"10.1145/3377811.3380341","","Tool","Object Construction Checker ","","https://github.com/kelloggm/object-construction-checker","1453","asslisa"
"10.1145/3377811.3380324","","Tool","OCL","[37]","http://www.eclipse.org/modeling/mdt/?project= ocl","1497","asslisa"
"10.1145/3377811.3380324","","Tool","Modisco","[36]","http://www.eclipse.org/modeling/mdt/?project=modisco","1497","asslisa"
"10.1145/3377811.3380324","","Tool","Papyrus","[38]","http://www.eclipse.org/modeling/mdt/?project=papyrus","1497","asslisa"
"10.1145/3377811.3380324","10.5381/jot.2012.11.3.a3","Methodology","Impact Analysis","[22]","","1500","asslisa"
"10.1145/3377811.3380324","","Tool","JDT API","","https://www.eclipse.org/jdt/core/","1501","asslisa"
"10.1145/3377811.3380355","10.1093/bioinformatics/btm344","Statistics","ANOVA F-test","[30]","","227","asslisa"
"10.1145/3377811.3380355","10.1109/TIP.2003.819861","Methodology","Structural Similarity Index Method (SSIM)","[41]","","228","asslisa"
"10.1145/3377811.3380355","10.1137/0218082","Tool","Tree Edit Distance ","[45]","","228","asslisa"
"10.1145/3377811.3380355","","Tool","V8 Engine ","[6]","https://v8.dev/","228","asslisa"
"10.1145/3377811.3380329","","Tool","Blender ","[17]","https://www.blender.org","76","asslisa"
"10.1145/3377811.3380329","","Tool","Assimp","[5]","http://www.assimp.org","76","asslisa"
"10.1145/3377811.3380329","","Tool","Appleseed","[43]","https://appleseedhq.net","76","asslisa"
"10.1145/3377811.3380329","","Tool","JQ","[15]","https://stedolan.github. io/jq/","76","asslisa"
"10.1145/3377811.3380329","","Tool","JSON-Simple","[30]","https://github.com/fangyidong/ json-simple","76","asslisa"
"10.1145/3377811.3380329","","Tool","Minimal-JSON ","[51]","https://github.com/ralfstx/minimal-json","76","asslisa"
"10.1145/3377811.3380329","","Tool","Graphviz","[47]","https: //www.graphviz.org/","76","asslisa"
"10.1145/3377811.3380329","","Tool","Gephi","[19]","https://gephi.org/","76","asslisa"
"10.1145/3377811.3380329","","Dataset","ANTLR Grammar Repository","[20]","https://github.com/antlr/ grammars-v4","76","asslisa"
"10.1145/3377811.3380329","","Tool","Github API for crawling","[27]","https://developer.github.com/v3/","76","asslisa"
"10.1145/3377811.3380329","","Tool","ANTLR 4.5 Parser Generator Framework","[44]","http://www.antlr.org","82","asslisa"
"10.1145/3377811.3380329","10.1109/32.988498","Tool","The Delta Debugging Algorithm","[56]","","83","asslisa"
"10.1145/3377811.3380348","10.1016/j.nec.2010.11.001","Methodology","Functional Magnetic Resonance Imaging (fMRI)","[44]","","679","asslisa"
"10.1145/3377811.3380348","","Tool","Turing's Craft","[3]","https://www.turingscraft.com/","681","asslisa"
"10.1145/3377811.3380348","10.1073/pnas.87.24.9868","Methodology","The Canonical Hemodynamic Response Function","[77]","","683","asslisa"
"10.1145/3377811.3380348","10.1016/j.neuroimage.2005.04.039","Methodology","Robust Weighted Least Squares (rWLS)","[32]","","683","asslisa"
"10.1145/3377811.3381749","","Methodology","Flaky Tests","[10] ","https://martinfowler. com/articles/nonDeterminism.html","1471","asslisa"
"10.1145/3377811.3381749","10.1145/2635868.2635920","Methodology","Flaky Tests","[20]","","1471","asslisa"
"10.1145/3377811.3381749","10.1145/2635868.2635920","Replication","Flaky Tests of Prior Studies","[20]","","1472","asslisa"
"10.1145/3377811.3381749","10.1109/ICSME.2017.12","Replication","Flaky Tests of Prior Studies","[25]","","1472","asslisa"
"10.1145/3377811.3381749","","Dataset","The Flaky Tests Lifecycle Data","[4]","https://github.com/ winglam/flaky-test-lifecycle-data","1472","asslisa"
"10.1145/3377811.3381749","10.1145/2889160.2889222","Tool","CloudBuild","[9]","","1472","asslisa"
"10.1145/3377811.3381749","","Tool","Azure Data Explorer","[1]","https://docs.microsoft.com/en-us/azure/dataexplorer","1473","asslisa"
"10.1145/3377811.3380433","","Dataset","Stack Overflow Post Dataset Released on 5 Jun 2018","[1]","https://archive.org/details/stackexchange","914","asslisa"
"10.1145/3377811.3380433","10.1145/2786805.2786809","Methodology","Open Card Sorting","[37]","","914","asslisa"
"10.1145/3377811.3380433","10.1162/coli.07-034-R2","Metric","Inter-coder Agreement","[6]","","915","asslisa"
"10.1145/3377811.3380433","10.1162/coli.07-034-R2","Statistics","Krippendorff's alpha","[6]","","915","asslisa"
"10.1145/3377811.3380433","","Statistics","Krippendorff's alpha","[32]","https://repository.upenn.edu/asc_papers/43","915","asslisa"
"10.1145/3377811.3380433","","Tool","Java Abstract Syntax Tree Parser ","[25]","https://javaparser.org/","918","asslisa"
"10.1145/3377811.3380433","","Tool","Symbolic Link Resolver Java Parser ","[25]","https://javaparser.org/","918","asslisa"
"10.1145/3377811.3380433","","Tool","Hibernate","[53]","http://hibernate.org/orm","920","asslisa"
"10.1145/3377811.3380433","","Tool","Jackson","[24]","https://github.com/FasterXML/jackson","920","asslisa"
"10.1145/3377811.3380433","","Tool","Junit","[26]","https://junit.org/junit4","920","asslisa"
"10.1145/3377811.3380433","","Tool","Apache Log4j","[5]","https://github.com/apache/logging-log4j2","920","asslisa"
"10.1145/3377811.3380324","","Dataset","OCL","37","http://www.eclipse.org/modeling/mdt/?project=ocl","1497","aysetosun"
"10.1145/3377811.3380324","","Dataset","Modisco","36","http://www.eclipse.org/modeling/mdt/?project=modisco","1497","aysetosun"
"10.1145/3377811.3380324","","Dataset","Papyrus","38","http://www.eclipse.org/modeling/mdt/?project=papyrus","1497","aysetosun"
"10.1145/3377811.3380324","10.5381/jot.2012.11.3.a3","Methodology","code impact analysis based on AST","22","","1500","aysetosun"
"10.1145/3377811.3380329","","Dataset","Blender","17","https://www.blender.org","76","aysetosun"
"10.1145/3377811.3380329","","Dataset","Assimp","5","http://www.assimp.org","76","aysetosun"
"10.1145/3377811.3380329","","Dataset","Appleseed","43","https://appleseedhq.net","76","aysetosun"
"10.1145/3377811.3380329","","Dataset","JQ","15","https://stedolan.github.io/jq/","76","aysetosun"
"10.1145/3377811.3380329","","Dataset","JSON-Simple","30","https://github.com/fangyidong/ json-simple","76","aysetosun"
"10.1145/3377811.3380329","","Dataset","Minimal-JSON","51","https://github.com/ralfstx/minimal-json","76","aysetosun"
"10.1145/3377811.3380329","","Dataset","Graphviz","47","https://www.graphviz.org/","76","aysetosun"
"10.1145/3377811.3380329","","Dataset","Gephi","19","https://gephi.org/","76","aysetosun"
"10.1145/3377811.3380329","","Dataset","ANTLR Grammar repository","20","https://github.com/antlr/ grammars-v4","76","aysetosun"
"10.1145/3377811.3380329","","Dataset","Wave OBJ grammar","42","https://www.cs.utah.edu/~boulos/cs3505/obj_spec.pdf","76","aysetosun"
"10.1145/3377811.3380329","","Dataset","JSON grammar","11","https://www.json.org/","76","aysetosun"
"10.1145/3377811.3380329","","Dataset","DOT grammar","31","https://www.ocf.berkeley.edu/~eek/index.html/tiny_examples/thinktank/src/gv1.7c/doc/dotguide.pdf","76","aysetosun"
"10.1145/3377811.3380329","10.1109/32.988498","Tool","ddmin","56","","83","aysetosun"
"10.1145/3377811.3380329","","Tool","Python ImageHash library","7","https://pypi.org/project/ImageHash/","80","aysetosun"
"10.1145/3377811.3380329","","Tool","ANTLR error recovery strategy","44","http://www.antlr.org","82","aysetosun"
"10.1145/3377811.3380341","","Tool","Lombok code generation library","66","https://projectlombok.org/","1449","aysetosun"
"10.1145/3377811.3380341","","Tool","AutoValue annotation processor","12","https://github.com/google/auto/tree/master/value","1449","aysetosun"
"10.1145/3377811.3380341","10.1145/1390630.1390656","Tool","Java atop the Checker framework","50","","1453","aysetosun"
"10.1145/3377811.3380341","","Methodology","Checker's constant propagation analysis","19","http://CheckerFramework.org/.","1453","aysetosun"
"10.1145/3377811.3380342","10.1145/2884781.2884848","Methodology","experiment by Ray et al.","75","","1074","aysetosun"
"10.1145/3377811.3380342","10.1109/MSR.2013.6624029","Dataset","Java Github corpus of Allamanis et al.","6","","1075","aysetosun"
"10.1145/3377811.3380342","10.5281/zenodo.3628775","Dataset","C corpus","29","","1076","aysetosun"
"10.1145/3377811.3380342","10.5281/zenodo.3628784","Dataset","Python corpus","31","","1076","aysetosun"
"10.1145/3377811.3380342","10.1145/3106237.3106290","Tool","Java lexer","41","https://github.com/SLP-team/SLP-Core","1076","aysetosun"
"10.1145/3377811.3380342","","Tool","Pygments library","","http://pygments.org/docs/lexers/ ","1076","aysetosun"
"10.1145/3377811.3380342","10.1145/3106237.3106290","Methodology","experiment procedure ","41","","1076","aysetosun"
"10.1145/3377811.3380342","","Tool","BPE algorithm for data compression - evaluation","34","https://dl.acm.org/doi/10.5555/177910.177914","1077","aysetosun"
"10.1145/3377811.3380342","10.18653/v1/P18-1027","Methodology","unrolling GRU for 200 timesteps","56","","1078","aysetosun"
"10.1145/3377811.3380342","10.1145/3106237.3106290","Methodology","code completion scenarios","41","","1080","aysetosun"
"10.1145/3377811.3380342","10.1109/ICSE.2012.6227135","Tool","standard n-gram LMs","44","","1080","aysetosun"
"10.1145/3377811.3380342","10.1145/2635868.2635875","Tool","cache LMs","81","","1080","aysetosun"
"10.1145/3377811.3380342","10.1145/3106237.3106290","Tool","n-gram LMs with nested caching","41","","1080","aysetosun"
"10.1145/3377811.3380342","10.1109/MSR.2015.38","Tool","token-level NLMs","88","","1080","aysetosun"
"10.1145/3377811.3380342","10.1145/2786805.278684","Tool","heuristic splitting NLMs","3","","1080","aysetosun"
"10.1145/3377811.3380342","","Methodology","n-gram implementation","","https://github.com/SLP-team/SLP-Core","1080","aysetosun"
"10.1145/3377811.3380342","10.1145/2610384.2628055","Dataset","Defects4j","53","","1082","aysetosun"
"10.1145/3377811.3380348","","Dataset","Turing's Craft code stimuli","3","https://www.turingscraft.com/","681","aysetosun"
"10.1145/3377811.3380348","10.1145/384267.305835","Dataset","short programming exercises library","2","","681","aysetosun"
"10.1145/3377811.3380348","","Tool","preprocessing pipeline using Statistical Parametric Mapping 12 Matlab package","115","https://www.fil.ion.ucl.ac.uk/spm/","683","aysetosun"
"10.1145/3377811.3380348","10.1016/S1361-8415(01)80026-8","Methodology","spatially-normalization to MINI152 template","69","","683","aysetosun"
"10.1145/3377811.3380348","10.1073/pnas.87.24.9868","Methodology","canonical hemodynamic response function","77","","683","aysetosun"
"10.1145/3377811.3380348","10.1016/j.neuroimage.2005.04.039","Methodology","robust weighted least squares","32","","683","aysetosun"
"10.1145/3377811.3380348","10.1007/b138298","Methodology","cytoarchitectural similarity","43","","","aysetosun"
"10.1145/3377811.3380355","","Tool","Balanced RF","14","https://statistics.berkeley.edu/sites/default/files/tech-reports/666.pdf","227","aysetosun"
"10.1145/3377811.3380355","10.1007/978-3-540-30115-8_7","Tool","weighted SVM","10","","227","aysetosun"
"10.1145/3377811.3380355","10.1145/1007730.1007741","Tool","weighted LR","46","","227","aysetosun"
"10.1145/3377811.3380355","10.1109/TIP.2003.819861","Methodology","Structural Similarity Index Method","41","","228","aysetosun"
"10.1145/3377811.3380355","10.1137/0218082","Tool","Tree Edit Distance algorithm","45","","228","aysetosun"
"10.1145/3377811.3380355","","Tool","DBSCAN","18","https://dl.acm.org/doi/10.5555/3001460.3001507","228","aysetosun"
"10.1145/3377811.3380355","","Tool","Puppeteer library","4","https://pptr.dev/","228","aysetosun"
"10.1145/3377811.3380355","","Tool","V8 engine","6","https://v8.dev/","228","aysetosun"
"10.1145/3377811.3380377","10.1145/2610384.2628055","Dataset","Defects4j","45","","94","aysetosun"
"10.1145/3377811.3380377","10.1109/TSE.2012.14","Tool","EvoSuite","26","","91","aysetosun"
"10.1145/3377811.3380377","","Tool","Peach","","https://github.com/MozillaSecurity/peach","91","aysetosun"
"10.1145/3377811.3380377","","Tool","Fuzzer","","https://github.com/mapbox/fuzzer","91","aysetosun"
"10.1145/3377811.3380377","","Tool","InTrace","36","https://mchr3k.github.io/org.intrace/","92","aysetosun"
"10.1145/3377811.3380433","","Dataset","Stack Overflow post dataset","1","https://archive.org/details/stackexchange","914","aysetosun"
"10.1145/3377811.3380433","","Tool","NLTK toolkit","2","https://nltk.org","914","aysetosun"
"10.1145/3377811.3380433","10.1145/2786805.2786809","Methodology","open card sorting","37","","914","aysetosun"
"10.1145/3377811.3380433","","Statistics","Krippendorff's alpha and 0.8 threshold","32","https://repository.upenn.edu/asc_papers/43","915","aysetosun"
"10.1145/3377811.3380433","","Tool","Java AST parser and symbolic link resolver","25","https://javaparser.org/","918","aysetosun"
"10.1145/3377811.3380437","10.1109/ESEM.2017.23","Tool","HW17 technique as state of the art","23","","14","aysetosun"
"10.1145/3377811.3380437","10.1109/MSR.2017.62","Dataset","Travis Torrent","3","","16","aysetosun"
"10.1145/3377811.3380437","10.1109/MSR.2017.30","Methodology","project filtering","27","","16","aysetosun"
"10.1145/3377811.3380437","10.4103/2229-5186.79345","Methodology","LOD to remove outliers","60","","16","aysetosun"
"10.1145/3377811.3380437","10.1109/MSR.2017.26","Methodology","project filtering","43","","16","aysetosun"
"10.1145/3377811.3380437","10.1109/MSR.2017.30","Metric","Correlated Features with all build failures","27","","16","aysetosun"
"10.1145/3377811.3380437","10.1109/MSR.2017.54","Metric","Correlated Features with all build failures","47","","16","aysetosun"
"10.1145/3377811.3380437","10.1109/ESEM.2017.23","Metric","Correlated Features with all failures","23","","18","aysetosun"
"10.1145/3377811.3381749","10.1145/2635868.2635920","Methodology","flaky test category - Async Wait","20","","1472","aysetosun"
"10.1145/3377811.3381749","10.1109/ICSME.2017.12","Methodology","flaky test category - Async Wait","25","","1472","aysetosun"
"10.1145/3377811.3381749","","Tool","Azure data explorer for suppression of files of Flakes","1","https://docs.microsoft.com/en-us/azure/dataexplorer","1473","aysetosun"
"10.1145/3377811.3381749","","Methodology","asynchronous code testing","10","https://martinfowler.com/articles/nonDeterminism.html","1471","aysetosun"
"10.1145/3324884.3416569","10.1007/978-3-540-24605-3_37","Tool","MiniSAT v2.1.1","11","","7","aaleti"
"10.1145/3324884.3416569","10.1109/TASE.2017.8285627","Tool","EDUCIBone tool ","43","","9","aaleti"
"10.1145/3324884.3416569","10.1109/TASE.2017.8285627","Sanity check","configuration","43","","9","aaleti"
"10.1145/3324884.3416569","10.1145/2975585","Dataset"," SAT competitions of 2014, the SATLIB benchmark and the ISCAS85 librarie","39","","11","aaleti"
"10.1145/3324884.3416631","10.1109/MODELS.2017.9","Methodology","model- driven trace checking","19","","1005","aaleti"
"10.1145/3324884.3416631","","Methodology","SBTP proposed in a recent taxonomy ","11","http://arxiv.org/abs/1910.08330","1006","aaleti"
"10.1145/3324884.3416631","","Methodology","OMG","43","http://www.omg.org/spec/OCL/ISO/","1007","aaleti"
"10.1145/3324884.3416631","10.1109/MODELS.2017.9","Sanity check","checking linear temporal logic properties","19","","1007","aaleti"
"10.1145/3324884.3416631","10.5381/jot.2019.18.2.a15","Sanity check","properties with temporal aggregations","10","","1007","aaleti"
"10.1145/3324884.3416633","","Methodology","Transformer architecture of Vaswani et al.","64","arxiv:1706.03762","1018","aaleti"
"10.1145/3324884.3416633","10.1109/ICSE.2019.00086","Methodology","split the program as proposed by Zhang et al. [","68","","1020","aaleti"
"10.1145/3324884.3416633","10.1109/ICSM.1998.738528","Methodology","abstract syntax tree (AST)","11","","1020","aaleti"
"10.1145/3324884.3416633","10.1007/978-3-030-03421-4_11","Dataset","5687 programs taken from the software verification competition SV-COMP 2018","14","","1022","aaleti"
"10.1145/3324884.3416633","10.1145/3292500.3330701","Methodology","tune hyper-parameter via Bayesian Optimization","2","","1023","aaleti"
"10.1145/3324884.3416633","","Tool","CLANG C compiler frontend","footnote 5","https://clang.llvm.org/","1023","aaleti"
"10.1145/3324884.3416553","","Dataset","11714 frequently-used real-world contracts","2","https://etherscan.io/","1032","aaleti"
"10.1145/3324884.3416553","10.1109/WETSEB.2019.00008","Methodology","CFG adopted from SlithIR","20","","1034","aaleti"
"10.1145/3324884.3416553","","Methodology","8 variables and 14 types of operations in SlitherIR","41","https://github.com/crytic/slither/wiki/","1035","aaleti"
"10.1145/3324884.3416553","","Dataset","public Google BigQuery dataset","23","https://cloud.google.com/","1036","aaleti"
"10.1145/3324884.3416635","","Tool","Coccinelle","8","https://dl.acm.org/doi/10.5555/3277355.3277413","108","aaleti"
"10.1145/3324884.3416635","10.1145/3280986","Dataset","Linux kernel","23","","108","aaleti"
"10.1145/3324884.3416609","","Dataset","MNIST","18","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.222.9220&rep=rep1&type=pdf","1043","aaleti"
"10.1145/3324884.3416609","","Dataset","CIFAR-10","21","http://yann.lecun.com/exdb/mnist/","1043","aaleti"
"10.1145/3324884.3416609","","Dataset","FashionMNIST","53","arXiv:cs.LG/cs.LG/1708.07747","1043","aaleti"
"10.1145/3324884.3416609","","Tool","Baseline","15","http://arxiv.org/abs/1610.02136","1043","aaleti"
"10.1145/3324884.3416609","","Tool","Odin","24","https://openreview.net/forum?id=H1VGkIxRZ","1043","aaleti"
"10.1145/3324884.3416609","","Tool","Mahalanobis","23","http://papers.nips.cc/paper/7947-","1043","aaleti"
"10.1145/3324884.3416609","","Tool","Outlier Exposure","16","https://openreview.net/forum?id=HyxCxhRcY7","1043","aaleti"
"10.1145/3324884.3416609","","Tool","Likelihood-Ratio","40","https://openreview.net/forum?id=SyxIWpVYvr","1043","aaleti"
"10.1145/3324884.3416609","","Metric","AUROC","14","http://www.ncbi.nlm.nih.gov/pubmed/7063747","1044","aaleti"
"10.1145/3324884.3416609","","Stepping stone","DeepTest","48","http://arxiv.org/abs/1708.08559","1044","aaleti"
"10.1145/3324884.3416609","10.1145/3293882.3330579","Stepping stone","DeepHunter","55","","1044","aaleti"
"10.1145/3324884.3416609","","Stepping stone","TensorFuzz","33","arxiv:1807.10875","1044","aaleti"
"10.1145/3324884.3416584","","Tool","YOLACT","7","https://github.com/dbolya/yolact","1057","aaleti"
"10.1145/3324884.3416584","","Sanity check","empirical evidence","14","arXiv:1904.02689","1057","aaleti"
"10.1145/3324884.3416584","","Methodology","average hash","40","http://www.hackerfactor.com/blog/index.php?/archives/432- Looks- Like- It.html","1058","aaleti"
"10.1145/3324884.3416584","10.1007/978-3-319-10602-1_48","Dataset","COCO image set ","45","","1058","aaleti"
"10.1145/3324884.3416584","","Tool","models are disclosed by Google","3","https://cloud.google.com/solutions/","1059","aaleti"
"10.1145/3324884.3416584","","Tool","Amazon Rekognintion API","1","https://aws.amazon.com/rekognition/","1060","aaleti"
"10.1145/3324884.3416584","","Tool","Google AutoML Vision API","2","https://cloud.google.com/vision/docs/detecting-objects","1060","aaleti"
"10.1145/3324884.3416584","","Tool","Microsoft Azure Vision API","3","https://cloud.google.com/solutions/creating- object- detection- application- tensorflow","1060","aaleti"
"10.1145/3324884.3416584","","Tool","IBM Vision API","6","https://developer.ibm.com/exchanges/models/all/max-object-detector//","1060","aaleti"
"10.1145/3324884.3416584","","Tool","TensorFlow SSD Mobilenet","37","arxiv:1704.04861","1060","aaleti"
"10.1145/3324884.3416584","10.1007/978-3-319-46448-0_2","Tool","TensorFlow SSD Inception ","47","","1060","aaleti"
"10.1145/3324884.3416584","","Tool","TensorFlow faster RCNN Resnet","29","arxiv:1504.08083","1060","aaleti"
"10.1145/3324884.3416584","","Tool","TensorFlow faster RCNN Inception Resnet","72","arxiv:1512.00567","1060","aaleti"
"10.1145/3324884.3416567","","Tool","Monkey","5","https://developer.android.com/studio/test/monkey","1068","aaleti"
"10.1145/3324884.3416567","","Dataset","F-droid ","18","https://f-droid.org","1068","aaleti"
"10.1145/3324884.3416567","","Tool","JaCoCo ","29","https://www.eclemma.org/jacoco","1068","aaleti"
"10.1145/3324884.3416567","","Tool","Android 4.4 KitKat ","-","https://www.android.com/intl/en_au/versions/kit-kat-4-4/","1074","aaleti"
"10.1145/3324884.3416623","10.1109/MSR.2013.6624034","Dataset","GHTorrent database","28","","1081","aaleti"
"10.1145/3324884.3416623","","Dataset","AndroZoo","17","https://f-droid.org","1081","aaleti"
"10.1145/3324884.3416623","10.1145/2901739.2903508","Dataset","F-droid ","3","","1081","aaleti"
"10.1145/3324884.3416623","10.1007/s10664-019-09701-0","Sanity check","Cruz et al.","13","","1086","aaleti"
"10.1145/3324884.3416630","10.1007/978-3-540-30206-3_12","Methodology","Signal Temporal Logic","31","","1092","aaleti"
"10.1145/3324884.3416630","10.1145/2635868.2635927","Methodology","variable- specific method ","9","","1093","aaleti"
"10.1145/3324884.3416630","10.1145/3106237.3106302","Methodology","variable- specific method ","49","","1093","aaleti"
"10.1145/3324884.3416630","","Tool","PX4","23","https://px4.io","1096","aaleti"
"10.1145/3324884.3416630","10.1080/19345747.2011.578707","Statistics","regression discontinuity analysis","8","","1098","aaleti"
"10.1145/3324884.3416630","","Statistics","regression discontinuity analysis","17","https://www.scholars.northwestern.edu/en/publications/the-design-and-conduct-of-true-experiments-and-quasi-experiments--2","1098","aaleti"
"10.1145/3324884.3416630","10.1037/h0044319","Statistics","regression discontinuity analysis","44","","1098","aaleti"
"10.1145/3324884.3416621","10.1145/3180155.3180220","Methodology","image transformation strategies","44","","2","tugcecoskunn"
"10.1145/3324884.3416621","10.1109/ICSE.2019.00108","Methodology","adversarial attack strategies","17","","2","tugcecoskunn"
"10.1145/3324884.3416621","","Dataset","MNIST","19","http://yann.lecun.com/exdb/mnist/.","5","tugcecoskunn"
"10.1145/3324884.3416621","","Dataset","CIFAR10","32","http://www.cs.toronto.edu/~kriz/cifar.html.","5","tugcecoskunn"
"10.1145/3324884.3416621","","Dataset","SVHN","31","http://ufldl.stanford.edu/housenumbers/nips2011_housenumbers.pdf","5","tugcecoskunn"
"10.1145/3324884.3416621","10.1109/CVPR.2017.243","Methodology","DenseNet","15","","5","tugcecoskunn"
"10.1145/3324884.3416621","10.1109/CVPR.2015.7298958","Methodology","RCNN","22","","5","tugcecoskunn"
"10.1145/3324884.3416621","10.1109/CVPR.2013.116","Methodology","AAL (Adaptive Active Learning)","20","","6","tugcecoskunn"
"10.1145/3324884.3416621","10.1145/3338906.3338930","Methodology","CES","21","","6","tugcecoskunn"
"10.1145/3324884.3416621","10.1109/ICSE.2019.00108","Methodology","SADL","17","","6","tugcecoskunn"
"10.1145/3324884.3416621","10.1016/J.SPL.2011.04.001","Methodology","Wilcoxon rank-sum test","5","","7","tugcecoskunn"
"10.1145/3324884.3416616","10.1145/3338906.3338917","Dataset","the dataset proposed by Zhang et al.","62","","2","tugcecoskunn"
"10.1145/3324884.3416616","10.1145/3106237.3106270","Methodology","the acceptable build time is 10 minutes","27","","2","tugcecoskunn"
"10.1145/3324884.3416616","","Methodology","the acceptable build time is 10 minutes","19","http://martinfowler.com/articles/ originalContinuousIntegration.html","2","tugcecoskunn"
"10.1145/3324884.3416616","10.1145/3183440.3195012","Methodology","it reuses the classifiers","45","","10","tugcecoskunn"
"10.1145/3324884.3416564","","Methodology","the mean of this distribution is a vector p,","4","https://en.wikipedia.org/wiki/Categorical_distribution","4","tugcecoskunn"
"10.1145/3324884.3416564","10.1002/9780470316887","Methodology","Markov Decision Process (MDP)","45","","4","tugcecoskunn"
"10.1145/3324884.3416564","10.3115/v1/D14-1162","Methodology","word embedding vectors GloVe","44","","8","tugcecoskunn"
"10.1145/3324884.3416564","","Methodology","the same configurations","33","arXiv:1905.07387v1","8","tugcecoskunn"
"10.1145/3324884.3416564","10.1145/3338906.3338954","Methodology","to reduce the data dimension to ? major components","20","","8","tugcecoskunn"
"10.1145/3324884.3416539","","Methodology","using the open coding method","20","https://books.google.com.tr/books?id=gX1ZDwAAQBAJ&dq=Qualitative+inquiry+and+research+design:+Choosing+among+five+approaches+2016&hl=tr&lr=","4","tugcecoskunn"
"10.1145/3324884.3416539","10.1109/QSIC.2014.19","Methodology","the empirical findings in existing studies","32","","6","tugcecoskunn"
"10.1145/3324884.3416539","10.1007/s10664-018-9663-0","Methodology","the empirical findings in existing studies","36","","6","tugcecoskunn"
"10.1145/3324884.3416539","","Methodology","the median solution","39","https://books.google.com.tr/books/about/Understanding_Statistics.html?id=vXzWG09_SzAC&redir_esc=y","7","tugcecoskunn"
"10.1145/3324884.3416539","","Methodology","under-sampling techniques","29","https://www.site.uottawa.ca/~nat/Workshop2003/jzhang.pdf","7","tugcecoskunn"
"10.1145/3324884.3416539","10.1145/2025113.2025179","Tool","EvoSuite","22","","8","tugcecoskunn"
"10.1145/3324884.3416539","10.1214/AOMS/1177730491","Methodology","Mann-Whitney U-Test","30","","8","tugcecoskunn"
"10.1145/3324884.3416612","10.1109/TSE.2017.2663435","Tool","D??????A ,  a state of the art SBST algorithm","52","","2","tugcecoskunn"
"10.1145/3324884.3416612","","Tool","the Schwa, as the defect predictor module","14","https://sigarra.up.pt/fep/en/pub_geral.show_file?pi_doc_id=43612","3","tugcecoskunn"
"10.1145/3324884.3416612","10.1109/ICSE.2013.6606583","Methodology","a time weighted risk (TWR)","42","","3","tugcecoskunn"
"10.1145/3324884.3416612","10.1109/QSIC.2011.19","Tool","EvoSuite","19","","5","tugcecoskunn"
"10.1145/3324884.3416612","10.1002/stvr.1486","Methodology","Mann-Whitney U-Test with the significance level (?) 0.05","5","","5","tugcecoskunn"
"10.1145/3324884.3416612","10.3102/10769986025002101","Methodology","Vargha and Delaney�s ?b12 statistic","60","","5","tugcecoskunn"
"10.1145/3324884.3416612","","Dataset","Defects4J dataset","38","https://github.com/rjust/defects4j","6","tugcecoskunn"
"10.1145/3324884.3416612","10.1109/TSE.2012.14","Statistics","EvoSuite in previous work [20, 52] except for the following parameters.","20","","6","tugcecoskunn"
"10.1145/3324884.3416551","10.1109/ICSME.2018.00028","Methodology","Following treatments in [16, 19] , declaration-based heuristic [16]","16","","4","tugcecoskunn"
"10.1145/3324884.3416551","10.1145/3338906.3338971","Methodology","Following treatments in [16, 19]","19","","4","tugcecoskunn"
"10.1145/3324884.3416551","10.3115/v1/P14-5010","Tool","Stanford CoreNLP","21","","5","tugcecoskunn"
"10.1145/3324884.3416551","","Methodology","the continuous skip-gram mode","22","arXiv:1310.4546","6","tugcecoskunn"
"10.1145/3324884.3416551","10.1145/2901739.2903506","Methodology","MuBench","3","","8","tugcecoskunn"
"10.1145/3324884.3416591","10.1145/3377811.3380342","Metric","compare their model with Byte Pair Encoding based Neural Language Model (BPE NLM) ","25","","3","tugcecoskunn"
"10.1145/3324884.3416591","10.24963/ijcai.2018/578","Metric","compare their model with Pointer Mixture Network","27","","3","tugcecoskunn"
